Transaction Date,Customer Name,Product Name,Sales Rep Name,Quantity,Total Revenue,Discount
2023-01-14 13:00:00.000000,TechCorp_132,Pro Subscription,Emp_6 SaaS_6,1,200.0,0.0
2023-01-28 08:00:00.000000,TechCorp_30,Pro Subscription,Emp_13 SaaS_13,1,200.0,0.0
2023-01-28 09:00:00.000000,TechCorp_110,Starter Subscription,Emp_31 SaaS_31,1,50.0,0.0
2023-01-29 09:00:00.000000,TechCorp_58,Starter Subscription,Emp_0 SaaS_0,1,50.0,0.0
2023-01-29 14:00:00.000000,TechCorp_255,Starter Subscription,Emp_29 SaaS_29,1,50.0,0.0
2023-01-30 16:00:00.000000,TechCorp_38,Pro Subscription,Emp_25 SaaS_25,1,200.0,0.0
2023-01-31 09:00:00.000000,TechCorp_76,Starter Subscription,Emp_12 SaaS_12,1,50.0,0.0
2023-02-01 11:00:00.000000,TechCorp_76,Starter Subscription,Emp_0 SaaS_0,1,50.0,0.0
2023-02-01 18:00:00.000000,TechCorp_255,Starter Subscription,Emp_4 SaaS_4,1,50.0,0.0
2023-02-04 17:00:00.000000,TechCorp_38,Pro Subscription,Emp_29 SaaS_29,1,200.0,0.0
2023-02-04 09:00:00.000000,TechCorp_58,Starter Subscription,Emp_4 SaaS_4,1,50.0,0.0
2023-02-09 08:00:00.000000,TechCorp_48,Pro Subscription,Emp_29 SaaS_29,1,200.0,0.0
2023-02-09 18:00:00.000000,TechCorp_132,Pro Subscription,Emp_21 SaaS_21,1,200.0,0.0
2023-02-11 14:00:00.000000,TechCorp_58,Starter Subscription,Emp_21 SaaS_21,1,50.0,0.0
2023-02-11 12:00:00.000000,TechCorp_110,Starter Subscription,Emp_19 SaaS_19,1,50.0,0.0
2023-02-11 09:00:00.000000,TechCorp_214,Starter Subscription,Emp_13 SaaS_13,1,50.0,0.0
2023-02-11 08:00:00.000000,TechCorp_288,Pro Subscription,Emp_25 SaaS_25,1,200.0,0.0
2023-02-12 08:00:00.000000,TechCorp_201,Starter Subscription,Emp_3 SaaS_3,1,50.0,0.0
2023-02-13 13:00:00.000000,TechCorp_76,Starter Subscription,Emp_29 SaaS_29,1,50.0,0.0
2023-02-16 09:00:00.000000,TechCorp_12,Pro Subscription,Emp_12 SaaS_12,1,200.0,0.0
2023-02-17 10:00:00.000000,TechCorp_57,Pro Subscription,Emp_13 SaaS_13,1,200.0,0.0
2023-02-17 17:00:00.000000,TechCorp_174,Pro Subscription,Emp_25 SaaS_25,1,200.0,0.0
2023-02-18 18:00:00.000000,TechCorp_201,Starter Subscription,Emp_12 SaaS_12,1,50.0,0.0
2023-02-20 13:00:00.000000,TechCorp_57,Pro Subscription,Emp_31 SaaS_31,1,200.0,0.0
